SkuPartNumber,Currency,UnitPriceMonthly,BillingCadence,EffectiveFrom,EffectiveTo,PriceSource,PricingBasis,ContractReference,IsEstimated
SPE_E3,EUR,37.78,Monthly,2026-09-17,,Microsoft France public list price,Per user per month with annual commitment excluding VAT,https://www.microsoft.com/fr-fr/microsoft-365/enterprise/microsoft-365-plans-and-pricing,True
SPE_F1,EUR,8.66,Monthly,2026-09-17,,Microsoft France public list price,Per user per month with annual commitment excluding VAT,https://www.microsoft.com/fr-fr/microsoft-365/enterprise/frontline-plans-and-pricing,True
POWER_BI_PRO,EUR,12.10,Monthly,2026-09-17,,Microsoft France public list price,Per user per month paid annually excluding VAT,https://www.microsoft.com/fr-fr/power-platform/products/power-bi/pricing,True
PBI_PREMIUM_PER_USER,EUR,20.80,Monthly,2026-09-17,,Microsoft France public list price,Per user per month paid annually excluding VAT,https://www.microsoft.com/fr-fr/power-platform/products/power-bi/pricing,True
Microsoft_365_Copilot,EUR,26.00,Monthly,2026-09-17,,Microsoft France public list price,Per user per month with annual commitment excluding VAT,https://www.microsoft.com/fr-fr/microsoft-365-copilot/pricing/enterprise,True
PROJECT_P1,EUR,8.70,Monthly,2026-09-17,,Microsoft France public list price,Per user per month paid annually excluding VAT,https://www.microsoft.com/fr-fr/microsoft-365/planner/microsoft-planner-business-plans-and-pricing,True
PROJECTPROFESSIONAL,EUR,26.00,Monthly,2026-09-17,,Microsoft France public list price,Per user per month paid annually excluding VAT,https://www.microsoft.com/fr-fr/microsoft-365/planner/microsoft-planner-business-plans-and-pricing,True
PROJECT_PLAN3_DEPT,EUR,26.00,Monthly,2026-09-17,,Microsoft France public list price,Per user per month paid annually excluding VAT,https://www.microsoft.com/fr-fr/microsoft-365/planner/microsoft-planner-business-plans-and-pricing,True
POWERAPPS_PER_USER,EUR,17.30,Monthly,2026-09-17,,Microsoft France public list price,Per user per month paid annually excluding VAT,https://www.microsoft.com/fr-fr/power-platform/products/power-apps/pricing,True
DYN365_FINANCE,EUR,182.00,Monthly,2026-09-17,,Microsoft France public list price,Per user per month paid annually excluding VAT,https://www.microsoft.com/fr-fr/dynamics-365/products/finance/pricing,True
DYN365_SCM,EUR,182.00,Monthly,2026-09-17,,Microsoft France public list price,Per user per month paid annually excluding VAT,https://www.microsoft.com/fr-fr/dynamics-365/products/supply-chain-management/pricing,True
DYN365_PROJECT_OPERATIONS,EUR,117.00,Monthly,2026-09-17,,Microsoft France public list price,Per user per month paid annually excluding VAT,https://www.microsoft.com/fr-fr/dynamics-365/products/project-operations/pricing,True
Microsoft_Entra_Suite,EUR,10.40,Monthly,2026-09-17,,Microsoft France public list price,Per user per month paid annually excluding VAT,https://www.microsoft.com/fr-fr/security/business/microsoft-entra-suite,True
AAD_PREMIUM_P2,EUR,8.70,Monthly,2026-09-17,,Microsoft France public list price,Per user per month paid annually excluding VAT,https://www.microsoft.com/fr-fr/security/business/identity-access/microsoft-entra-id,True
Teams_Premium_(for_Departments),EUR,8.70,Monthly,2026-09-17,,Microsoft France public list price,Per user per month paid annually excluding VAT,https://www.microsoft.com/fr-fr/microsoft-teams/premium,True
Microsoft_Teams_Rooms_Basic,EUR,0.00,Monthly,2026-09-17,,Microsoft France public list price,Per room per month excluding VAT,https://www.microsoft.com/fr-fr/microsoft-teams/microsoft-teams-rooms/compare-rooms-plans,True
Microsoft_Teams_Rooms_Pro,EUR,34.70,Monthly,2026-09-17,,Microsoft France public list price,Per room per month with annual commitment excluding VAT,https://www.microsoft.com/fr-fr/microsoft-teams/microsoft-teams-rooms/compare-rooms-plans,True
VISIOCLIENT,EUR,13.00,Monthly,2026-09-17,,Microsoft France public list price,Per user per month paid annually excluding VAT,https://www.microsoft.com/fr-fr/microsoft-365/visio/visio-plans-and-pricing,True
POWERAUTOMATE_ATTENDED_RPA,EUR,13.00,Monthly,2026-09-17,,Microsoft France public list price,Per user per month paid annually excluding VAT,https://www.microsoft.com/fr-fr/power-platform/products/power-automate/pricing,True
Power_Automate_per_process,EUR,130.00,Monthly,2026-09-17,,Microsoft France public list price,Per bot per month paid annually excluding VAT,https://www.microsoft.com/fr-fr/power-platform/products/power-automate/pricing,True
POWER_BI_STANDARD,EUR,0.00,Monthly,2026-09-17,,Microsoft France public list price,Free product reference,https://www.microsoft.com/fr-fr/power-platform/products/power-bi/pricing,True
POWERAPPS_DEV,EUR,0.00,Monthly,2026-09-17,,Microsoft France public list price,Developer plan reference,https://www.microsoft.com/fr-fr/power-platform/products/power-apps/pricing,True
FLOW_FREE,EUR,0.00,Monthly,2026-09-17,,Microsoft France public list price,Free product reference,https://www.microsoft.com/fr-fr/power-platform/products/power-automate/pricing,True
